file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,genero,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00000.wav,0 days,0 days 00:00:30.013333333,24.49822,0.29708478,17.05327,26.686747,29.011047,11.957777,313.61285,835.71783,71.57655,102.10121,1.7456362,0.45095113,0.8891056,1.6878816,2.4893544,1.6002488,13.480636,10.860101,7.3916306,6.9261355,1.1498966,0.77133274,17.549265,0.38677052,2.5102446,3.1798666,9.70021,0.96494997,2.0278728,5.4648814,0.023439588,2.3280735,1.185327,0.59565574,1.5433552,2.7240605,1.2524501,13.942504,12.000588,1.1304387,549.53827,0.47237846,1180.9894,0.19596905,-58.64397,-1.4008342,1552.4445,0.20204002,844.07745,0.3082632,,-60.798225,-1.2801845,2562.9004,0.123423725,721.43536,0.27806973,-62.167873,-1.2348741,-8.4192295,-0.6388416,16.184273,0.38164666,0.0044804676,10.014399,-0.013453835,-0.65927285,0.9960672,0.7972692,18.777647,0.36870956,1.5592085,5.398169,9.136451,1.1005297,1.3161898,9.150071,-8.759268,16.199436,-0.02565387,-0.008496326,1.6128685,1.9378551,2.376967,0.30450705,0.6376757,0.11946428,0.112716764,-16.601967
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00001.wav,0 days,0 days 00:00:30.013333333,24.442387,0.31330338,12.500207,27.268074,31.213236,18.713028,265.18436,352.2521,105.28797,123.51739,1.7998364,0.33133197,1.2614262,1.7863349,2.3001926,1.0387664,14.275253,12.428676,5.3753076,5.5215616,1.5492761,0.5816394,24.805788,0.28538224,2.0285263,3.3099146,12.004808,0.7066189,7.8109946,1.176602,0.04481195,2.3673441,1.2427673,0.59403616,1.758332,2.2806056,6.174596,2.9177883,19.28033,0.6388652,574.58685,0.47297487,1272.6805,0.16529128,-39.122704,-1.6565771,1559.975,0.18743742,963.7655,0.23922542,,-44.471687,-1.3580227,2583.2053,0.12565637,862.9244,0.2547046,-48.919605,-1.2031254,-11.984202,-0.3216758,21.551805,0.31277752,-0.023966389,-1.6609151,-0.010467381,-0.908292,1.5412146,0.5856963,25.53349,0.26010686,2.5524538,2.6513405,12.207423,0.67775494,8.249588,1.1200002,-9.081838,17.706383,-0.023884926,-0.006369371,1.6195335,1.9712664,2.4439237,0.3387671,0.45218787,0.071875,0.08969058,-14.260919
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00002.wav,0 days,0 days 00:00:30.013333333,22.018932,0.4171563,14.557289,17.325079,29.686201,15.128912,177.32608,383.66562,88.43779,90.72563,1.7357429,0.5850918,0.714186,1.5725654,2.7969,2.082714,44.61135,28.01108,8.233358,3.9395342,1.2400374,0.8868932,18.919094,0.44434598,0.08990107,118.30471,11.02634,0.9644832,2.1719224,5.615607,0.037778836,1.6991019,1.3232541,0.65655357,-0.17885536,-17.697351,5.1834097,5.57402,11.3015175,1.9802049,583.4209,0.42634857,1262.8939,0.18033679,-40.14435,-1.6042049,1586.9366,0.17722031,966.3169,0.24346669,,-42.556576,-1.4107901,2568.1604,0.12816526,828.0636,0.30181277,-44.96216,-1.3148392,-11.24342,-0.62207496,18.87853,0.4256581,-0.03756506,-1.1854048,-0.013674423,-0.6455185,1.1916586,0.86424756,19.621948,0.4242391,0.2557661,42.966217,11.105589,1.0025705,2.4264224,5.2154627,-8.513505,16.356339,-0.034719646,-0.010539995,1.5404103,2.5726697,2.7108436,0.30543208,0.2532117,0.051363632,0.02833171,-15.428364
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00003.wav,0 days,0 days 00:00:30.013333333,22.845179,0.26253355,19.283997,22.00119,26.929031,7.645035,219.4205,245.26445,125.572586,223.36382,1.3089067,0.52913785,0.7565417,1.1493921,1.826726,1.0701842,21.746902,15.785486,6.9537373,4.5519743,1.2658501,0.65860766,26.433826,0.3213574,9.431704,0.83872557,9.083919,0.8500585,10.844386,1.0596048,0.048159484,1.7976907,1.3997442,0.648686,0.77453065,4.839876,10.140406,1.8626912,24.358175,0.62236226,597.03,0.43578386,1314.4722,0.17398025,-49.72258,-1.357785,1579.4674,0.20319031,1031.7183,0.26132205,,-52.8499,-1.1963583,2651.6904,0.13029283,859.19385,0.33601183,-59.507847,-1.0145676,-16.05789,-0.3782946,28.025394,0.28426042,-0.05550533,-0.6075067,-0.010977879,-0.94007623,1.2153136,0.6584208,27.098753,0.2961091,9.204746,0.8672387,9.021419,0.87618834,10.828354,1.0708392,-16.708345,28.41351,-0.06914107,-0.008604283,1.4729643,3.174073,2.4128687,0.3333333,0.39934677,0.072372876,0.056728285,-15.706425
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00004.wav,0 days,0 days 00:00:30.013333333,18.199259,0.3272576,13.77453,15.343654,22.854172,9.079641,154.59486,145.65776,134.31294,247.81999,1.5262612,0.35535413,1.0475748,1.455121,1.967383,0.91980827,15.833944,15.60112,5.2813234,4.722636,1.9812092,0.3401385,25.604084,0.31621245,14.571232,0.5701156,17.08053,0.45494694,10.597043,0.789522,0.07220173,1.7972991,1.3135455,0.60138017,-0.22738266,-12.151196,3.6883633,4.2244616,26.162493,0.39917022,591.81573,0.48798254,1288.375,0.18188047,-26.92326,-1.7553053,1615.1191,0.19329125,975.1998,0.24492392,,-36.8131,-1.178717,2628.947,0.12873967,832.1843,0.29611453,-40.728436,-1.0445863,-18.356731,-0.2876855,26.968765,0.24060087,-0.044383444,-0.6567683,-0.013808396,-0.6654323,1.969206,0.33488157,25.564457,0.31781372,14.608403,0.57474536,17.293156,0.44975176,10.736277,0.77570415,-18.87718,28.842781,-0.05378108,-0.012775526,2.1544313,1.8376212,1.9082693,0.47298244,0.37918177,0.04935484,0.04118686,-13.429425
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00005.wav,0 days,0 days 00:00:30.013333333,27.018646,0.29755095,17.125622,27.158144,36.209797,19.084175,170.87315,160.30652,111.98848,103.875786,2.5701134,0.21935444,2.0232365,2.5742161,3.123664,1.1004274,8.903776,6.4582253,5.0999694,4.587969,1.8106213,0.36003968,27.075766,0.28925297,-12.027121,-0.61185265,5.367102,1.5097531,6.3078365,1.1117667,0.04582068,2.1485865,1.19041,0.5121758,0.38126278,7.9017854,5.290315,1.8497351,12.217972,0.69787973,640.48785,0.38989887,1377.1329,0.15120465,-57.78198,-1.4179864,1593.1957,0.16921498,1165.7578,0.19187261,,-54.22438,-1.447936,2518.5947,0.121157326,1010.8308,0.23114793,-57.70727,-1.3281821,-6.207371,-0.41129944,13.390995,0.27027223,0.0065569277,4.8847537,-0.013304286,-0.48247287,1.7509421,0.38523632,26.645678,0.30421302,-11.682592,-0.6249359,4.0542936,2.0022683,7.40212,0.9251739,-6.626592,13.255988,-0.0075239516,-0.012333223,1.9997122,2.4056132,2.544359,0.28710526,0.6041933,0.0912676,0.10284582,-13.502937
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00006.wav,0 days,0 days 00:00:30.013333333,27.73125,0.20543419,22.924688,28.380592,33.075264,10.150576,133.43521,187.75957,136.96935,393.6268,2.278126,0.33138075,1.550055,2.3373623,3.0277681,1.4777131,15.429569,10.290717,7.249016,5.7460704,1.3450253,0.5036114,23.852991,0.34152433,-7.0559974,-1.3759886,13.13465,0.8497563,-5.36739,-1.9405459,0.035828207,1.9450696,1.1708769,0.5604848,1.8054996,1.9308149,3.2570465,3.1802535,12.901811,0.8564578,622.459,0.43594113,1204.4978,0.17884254,-24.905893,-2.2774117,1628.2322,0.20251943,881.623,0.28928187,,-27.599804,-1.9168315,2638.1465,0.12533814,764.74976,0.3096487,-29.732769,-1.7589059,-7.646591,-0.6797166,13.490884,0.58250624,0.019404411,1.7703013,-0.017438091,-0.5198852,1.3170501,0.4840248,24.518211,0.31787282,-7.2111373,-1.3549849,13.094122,0.8470575,-5.54538,-1.8910656,-4.9884305,10.489564,0.0067080176,-0.015885085,1.6320084,2.372202,1.6409913,0.5410204,0.5535977,0.06135135,0.05541793,-14.432977
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00007.wav,0 days,0 days 00:00:30.013333333,21.313953,0.3324141,15.009895,19.175777,31.22374,16.213844,169.97049,197.78499,95.27069,81.65999,1.4948994,0.3351564,1.0433358,1.4304842,1.9398053,0.8964695,11.737124,9.527944,3.5396984,2.7830825,1.4416097,0.5467538,29.970737,0.20986325,4.621484,1.5519435,10.666282,0.7725167,6.4040523,1.4778417,0.07155997,1.6271672,1.3746794,0.59458077,-0.6551707,-4.9789243,0.23901547,92.77417,18.506119,0.97902507,557.00037,0.4392705,1364.8552,0.1484791,-24.56573,-2.1981516,1526.6925,0.17436048,1064.9783,0.2227055,,-33.11545,-1.5122187,2543.6497,0.11401951,901.1613,0.34481937,-38.421013,-1.2601403,-14.703133,-0.25253373,22.957232,0.20502898,-0.01820739,-1.773812,-0.018691178,-0.4621771,1.4182005,0.53847843,30.410797,0.19677328,4.7292056,1.5001024,10.816293,0.7678947,6.59704,1.4284406,-12.168146,20.664223,-0.013780184,-0.015198683,1.6596358,2.0046778,1.7743556,0.5,0.5028335,0.05390244,0.03962496,-15.479942
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00008.wav,0 days,0 days 00:00:30.013333333,28.809925,0.32079223,22.13442,24.484854,38.1889,16.05448,215.7175,173.16425,151.97765,190.85014,3.1431448,0.12896486,2.797965,3.1445007,3.4470606,0.64909554,11.083264,7.159797,7.1257496,5.281811,2.5171342,0.2351157,21.904448,0.18927167,-6.141597,-0.6736314,-3.115969,-1.8868133,3.708584,1.9839376,0.041153207,2.1613684,1.1158935,0.516731,0.5213571,5.051601,6.9522166,1.622578,13.914011,0.46075422,491.847,0.348817,1264.3866,0.15562049,-84.43577,-1.0720767,1402.5969,0.13106807,1045.9878,0.19599684,,-73.22927,-1.1874745,2396.641,0.09621691,909.81464,0.26153594,-78.93106,-1.0519985,-5.146752,-0.5692111,17.344048,0.23475891,-0.0078082113,-3.497328,-0.009557327,-0.78041047,2.385825,0.23734494,22.250267,0.19840263,-6.3855953,-0.6618355,-3.5001333,-1.7322729,3.5676317,2.2312038,-5.020927,15.979237,-0.016596178,-0.008104352,2.7654428,4.64417,3.3813193,0.18326733,0.33429134,0.1035955,0.08773361,-11.611213
/home/pedro/códigos/PLN_grupo/archive/Data/genres_original/rock/rock.00009.wav,0 days,0 days 00:00:30.013333333,22.71206,0.15838008,20.16892,20.607624,27.20791,7.03899,101.88579,178.69978,60.796257,99.63463,1.237058,0.46978962,0.7776778,1.093139,1.5924149,0.8147371,18.00889,20.233044,4.507774,2.8905509,1.0164235,0.73902863,34.74163,0.2603748,4.734042,1.8550092,3.0658205,2.283632,4.984942,1.297973,0.032542557,1.5176586,1.3070164,0.5342336,1.0618085,2.6024232,2.0599093,4.1294284,26.396334,0.3523685,657.52234,0.36755642,1424.7278,0.15468569,-34.975132,-1.7485126,1599.707,0.18315995,1177.4456,0.19880153,,-41.904366,-1.3779283,2657.991,0.11900112,999.3022,0.32487538,-51.639275,-1.0497466,-13.004673,-0.41062325,28.998495,0.22205095,-0.010421907,-3.4247227,-0.01580344,-0.6208249,0.89699686,0.6325661,35.231297,0.24909434,4.8336287,1.8475362,3.1243603,2.2613149,4.972248,1.2485408,-13.259085,28.957605,-0.036817502,-0.012352321,1.8020207,1.8710325,1.7073988,0.4998039,0.47638133,0.07333333,0.059814528,-16.936796
